_id,continent,education_of_employee,has_job_experience,requires_job_training,no_of_employees,yr_of_estab,region_of_employment,prevailing_wage,unit_of_wage,full_time_position,case_status
69b547f107de1f89d642da3e,Europe,Doctorate,Y,Y,2196,2010,Northeast,101261.16,Year,Y,Certified
69b547f107de1f89d642f989,Asia,Bachelor's,N,N,2484,1998,West,71468.25,Year,Y,Certified
69b547f107de1f89d642a745,Europe,Master's,N,N,2922,2001,West,96192.58,Year,Y,Certified
69b53d26c888b997643549c3,Asia,Master's,Y,N,3679,2001,South,44725.29,Year,N,Certified
69b53d26c888b99764355c76,South America,Master's,N,N,957,2005,West,85454.66,Year,Y,Denied
69b547f107de1f89d642ee70,Asia,Bachelor's,N,N,1470,1999,South,35.1594,Hour,Y,Denied
69b53d26c888b99764354c5d,Asia,Bachelor's,N,N,427,1977,South,158714.53,Year,Y,Certified
69b53d26c888b99764351c14,Asia,Master's,Y,N,105,1951,Northeast,146800.42,Year,Y,Certified
69b547f107de1f89d642b0e7,Africa,Bachelor's,Y,N,6081,2009,Northeast,186386.28,Year,Y,Certified
69b53d26c888b997643555ba,Asia,High School,Y,N,2243,1998,Northeast,45474.58,Year,Y,Certified
69b53d26c888b997643560af,Europe,Master's,Y,N,119715,2006,West,9178.17,Year,Y,Certified
69b53d26c888b997643558fa,Europe,Master's,Y,N,1600,2001,West,9712.84,Year,Y,Certified
69b547f107de1f89d642ad68,Asia,High School,Y,N,2763,1968,Northeast,43387.81,Year,Y,Denied
69b547f107de1f89d642e5a1,Asia,Master's,Y,Y,46563,1911,West,22018.03,Year,Y,Certified
69b53d26c888b9976435574d,Asia,Bachelor's,Y,N,3135,1954,Northeast,334.8349,Hour,Y,Certified
69b547f107de1f89d642d8fc,Asia,Bachelor's,Y,N,4479,1990,Island,61493.72,Year,N,Certified
69b547f107de1f89d642f0e5,Europe,Bachelor's,N,N,1006,1948,West,59396.17,Year,Y,Certified
69b547f107de1f89d642d93d,Asia,Bachelor's,N,N,938,2012,Northeast,154523.77,Year,Y,Certified
69b547f107de1f89d642cc89,North America,Bachelor's,N,Y,4555,1995,West,53388.73,Year,Y,Denied
69b547f107de1f89d642d7c0,Asia,Bachelor's,Y,N,653,2010,Northeast,105894.46,Year,N,Denied
69b547f107de1f89d642d583,Europe,Master's,Y,N,4076,1919,South,243111.61,Year,N,Certified
69b53d26c888b99764354cbc,Asia,Master's,Y,N,2504,2007,South,117857.79,Year,N,Certified
69b547f107de1f89d642d70e,North America,Bachelor's,N,N,3233,2009,West,59.0859,Hour,Y,Certified
69b53d27c888b99764356af9,North America,Master's,N,N,1629,1882,Northeast,132251.08,Year,N,Certified
69b53d26c888b997643561f7,Asia,Bachelor's,Y,N,1335,2001,Northeast,33790.11,Year,Y,Denied
69b547f107de1f89d642caf3,Asia,High School,Y,N,489,1985,Midwest,72802.98,Year,Y,Denied
69b547f107de1f89d642a999,Asia,Master's,Y,N,139,2010,West,95227.87,Year,Y,Certified
69b547f107de1f89d642d5eb,Asia,Master's,N,N,938,2001,South,98133.16,Year,Y,Certified
69b547f107de1f89d6430333,Asia,Master's,N,N,1827,2010,South,871.1716,Hour,Y,Denied
69b547f107de1f89d642fdb6,South America,High School,Y,N,2955,1838,South,412.4337,Hour,Y,Certified
69b53d26c888b99764354a1c,North America,Bachelor's,Y,N,4336,1996,Northeast,140885.87,Year,Y,Certified
69b547f107de1f89d642df46,Asia,Bachelor's,Y,N,2873,1899,South,363.574,Hour,Y,Denied
69b53d27c888b99764357633,Asia,Bachelor's,Y,N,2285,2008,Northeast,110880.87,Year,Y,Certified
69b547f107de1f89d642d650,Asia,High School,Y,N,1416,1870,South,106771.39,Year,Y,Denied
69b53d26c888b997643527de,Europe,Master's,Y,N,2812,1952,Island,109831.16,Year,N,Certified
69b53d26c888b99764352bb6,Asia,Master's,Y,N,3766,1968,South,74335.9,Year,N,Certified
69b53d26c888b997643561ec,Europe,Doctorate,Y,N,1236,1873,West,38920.81,Year,Y,Denied
69b53d26c888b997643552cb,Asia,Bachelor's,N,N,20971,2000,South,892.6323,Hour,Y,Denied
69b53d26c888b9976435597c,Asia,Bachelor's,Y,N,3929,2009,West,110639.0,Year,Y,Certified
69b547f107de1f89d642fcbe,North America,Bachelor's,N,N,1568,1994,West,101960.26,Year,Y,Denied
69b547f107de1f89d642c1b7,North America,Master's,N,N,4315,2005,Northeast,662.0821,Hour,Y,Denied
69b547f107de1f89d642f82f,South America,High School,N,N,2873,2005,Northeast,73370.6,Year,Y,Denied
69b547f107de1f89d642c1bb,Asia,High School,N,N,555,1978,Northeast,62238.02,Year,Y,Denied
69b547f107de1f89d642d4a1,Asia,Master's,Y,N,643,2006,Northeast,88252.18,Year,Y,Certified
69b547f107de1f89d642c8f9,Asia,Master's,Y,N,2281,2012,Midwest,178385.89,Year,Y,Certified
69b547f107de1f89d642c3d2,Europe,Master's,N,N,3821,1999,South,104308.07,Year,N,Denied
69b547f107de1f89d642b578,Asia,Bachelor's,Y,Y,1946,1984,South,67931.37,Year,Y,Certified
69b53d26c888b9976435527d,Africa,Master's,N,N,2618,2013,Midwest,54870.61,Year,N,Denied
69b547f107de1f89d642df02,Europe,Doctorate,Y,N,67,1993,South,66947.84,Year,Y,Certified
